ime,delodajalec,opis,kategorija,regija
Projektni vodja ,Salax d.o.o.,Svojo prijavo z življenjepisom pošljite na elektronski naslov bettina.rogac@salax.si. Za več informacij smo za vas na voljo na tel. št. 040 585 270.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Samostojni referent asistence ,HSG KARIERA,Mednarodno podjetje  ki se ukvarja z asistenčnimi storitvami na področju zavarovalništva  odpira prosto delovno mesto Samostojni referent asistence m/ž.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja kontrole kakovosti  v Mengšu,Trenkwalder d.o.o.,Naš partner  Porton Pharma Solutions Ltd. je v farmacevtski industriji uveljavljeno podjetje  ki kot pogodbeni partner zagotavlja inovativne  zanesljive in celovite storitve raziskav in razvoja ter proizvodnje. Si želite delovati v ekspertni  mednarodni ekipi in imeti na razpolago opremo  ki je v skladu z najnovejšimi trendi v farmacevtski industriji? Povežite se z nami!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja na področju profesionalnega čiščenja ,Valina d.o.o.,Vodja na področju profesionalnega čiščenja.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Administrativni referent ,Valina upravljanje d.o.o.,Administrativni referent. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
IT manager,Adittec  kadrovske rešitve  d.o.o.,Za našega naročnika  vodilno mednarodno energetsko družbo  ki z investicijami v obnovljive vire električne energije postavlja temelje okolju prijaznih tehnologij prihodnosti  iščemo izkušenega in motiviranega kandidata  ki bi prevzel vodenje IT področja.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja inženiringa,Adittec  kadrovske rešitve  d.o.o.,Za našega naročnika  vodilno mednarodno energetsko družbo  ki postavlja temelje tehnologij prihodnosti s svojimi okolju prijaznimi rešitvami na področju trajnostne energije  iščemo samostojnega in proaktivnega kandidata  ki bo prevzel vodenje inženiringa in s svojim strokovnim znanjem soustvarjal najsodobnejše rešitve na področju obnovljivih virov energije.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja investicijskih projektov,Adittec  kadrovske rešitve  d.o.o.,Za našega naročnika  vodilno energetsko družbo  ki razmišlja dolgoročno in se zaveda vpliva trajnostnega razvoja ter obnovljivih virov energije na okolje  iščemo izkušenega strokovnjaka  ki bo samostojno vodil in koordiniral EU projekte ter iskal nove priložnosti financiranja z evropskimi sredstvi.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja EU projektov,Adittec  kadrovske rešitve  d.o.o.,Za našega naročnika  vodilno energetsko družbo  ki razmišlja dolgoročno in se zaveda vpliva trajnostnega razvoja ter obnovljivih virov energije na okolje  iščemo izkušenega strokovnjaka  ki bo samostojno vodil in koordiniral EU projekte ter iskal nove priložnosti financiranja z evropskimi sredstvi.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projektov v orodjarni,Kolektor Orodjarna d.o.o.,bsega predvsem: načrtovanje in pripravo vseh elementov razvojnega projekta  sestavo projektne ekipe  organiziranje dela in aktivnosti članov projekta  izvajanje in nadzorovanje aktivnosti projekta  pripravo in skrb za projektno dokumentacijo...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja prodaje na terenu ,Trenkwalder d.o.o.,Iščete priložnost  da svojo strast pretvorite v kariero? Če ste oseba  ki ima dobre prodajne veščine in željo po vodenju ekipe prodajnikov  je to prava priložnost za vas. Pridružite se podjetju Stahlgruber - vodilnemu dobavitelju nadomestnih delov za avtomehanične delavnice in skupaj boste zagotavljali kakovostne rešitve  ki ohranjajo avtomobile na cesti in stranke zadovoljne. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Sodelavec produktnega vodenja ,PharmaLinea d.o.o.,Ekipa je naša glavna prednost  zato neprestano vlagamo v razvoj in izobraževanje sodelavcev. Ker želimo  da  tudi vi presegate svoje meje  smo ustvarili dinamično okolje  v katerem so vaše ideje močno zaželene in vaša  kreativnost spodbujana. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja prodajnega področja ,DONIT TESNIT  d.o.o.,V prodajnem oddelku v Medvodah iščemo novega sodelavca (m/ž) na delovnem mestu: VODJA PRODAJNEGA PODROČJA m/ž,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja operativne priprave del in skladišča,Geoinvest d.o.o.,vne naloge: Odgovarja in skrbi za organizacijske postopke terenskih delavcev  odgovarja in skrbi za organizacijske postopke strojev in opreme  odgovarja in skrbi za organizacijske postopke skladišča podjetja  izvaja razporejanje terenskih delavcev za upravljanje strojev in opreme na terenu.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projekta ,Geoinvest d.o.o.,vne naloge: vodenje  organiziranje in nadzor dela na gradbišču  sodelovanje z naročnikom  nadzorom in izvajalci na gradbiščih  vodenje terminskega plana  opravljanje obračunskih del v skladu s poslovnim procesom podjetja ...Delovni čas od ponedeljka do petka  enoizmesko delo  službeni avtomobil  mobitel  laptop.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja finančno računovodske službe,Geoinvest d.o.o.,V svojo ekipo vabimo novega sodelavca za delovno mesto VODJA FINANČNO RAČUNOVODSKE SLUŽBE.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja računovodstva ,HSG KARIERA,Za našega naročnika  mednarodno vodilno podjetje v proizvodnji etiketnih papirjev  iščemo Vodjo računovodstva m/ž.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Planer kapacitet proizvodnih lokacij,HELLA Saturnus Slovenija d.o.o.,Izberite svetlo prihodnost in se pridružite ekipi sodelavcev na delovnem mestu: PLANER KAPACITET PROIZVODNIH LOKACIJ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Asistent v prodaj,Merit HP d.o.o.,Si motivirana oseba z natančnim pristopom in strastjo do prodaje? Iščemo asistenta/asistentko  ki bo nudil/a celovito podporo naši prodajni ekipi. Če se odlično znajdeš v hitro spreminjajočem se okolju ter rad/a prispevaš k uspehu podjetja s FMCG področja  je to popolna priložnost zate!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Komercialist na področju logistike ,HSG KARIERA,Za mednarodno podjetje  ki se ukvarja s transportom vozil  logističnimi storitvami in ekološko razgradnjo vozil  iščemo komercialista.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projekta ,HELLA Saturnus Slovenija d.o.o.,Izberite svetlo prihodnost in se pridružite ekipi sodelavcev na delovnem mestu: VODJA PROJEKTA,upravljanje-svetovanje-vodenje,osrednjeslovenska
Prodajalec vozil ,Avtocenter Tr,Iščemo izkušenega prodajalca osebnih vozil z najmanj 3 leta izkušenj na področju prodaje v avtomobilskem salonu.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja avto salona,Avtocenter Tr,Iščemo izkušenega vodjo in prodajalca osebnih vozil z najmanj 10 let izkušenj na področju prodaje v avtomobilskem salonu.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Pravnik  v Ljubljani,Trenkwalder d.o.o.,Se učinkovito soočate s pravnimi izzivi  imate dobre organizacijske veščine in si želite dinamičnega delovnega okolja?Pridružite se uspešnemu proizvodnemu podjetja  ki je uveljavljeno tudi na mednarodnih trgih!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Različni profili ,Swarco Lea  d.o.o.,Kaj ponujamo svojim zaposlenim: Redno plačilo  delo za nedoločen čas s poskusno dobo 6 mesecev  možnost napredovanje  hibridno delo od doma  karierni razvoj v velikem mednarodnem podjetju  druženja s sodelavci  kava in sadje v pisarni …,upravljanje-svetovanje-vodenje,osrednjeslovenska
Projektni vodja ,Rodex d.o.o.,Tvoje odgovornosti bodo: načrtovanje  vodenje  nadziranje in analiziranje projektov  pregled povpraševanj in tehničnih zahtev kupca ter usklajevanje s kupcem..,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projekta ,Brinox d.o.o.,Vaše naloge in odgovornosti bodo: samostojno vodenje izvedbe; koordinacija in nadzor nad resursi in nad stroški projektov (dobaviteljev  izvajalcev  podizvajalcev idr.);  koordinacija izvedbe del med stranko  kooperanti in zunanjimi institucijami; organizacija in sodelovanje pri zagonih in montažah.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Tehnični direktor  v Novem mestu,Trenkwalder d.o.o.,Bi želeli nadgraditi svojo karierno pot in aktivno sooblikovati prihodnost v slovenskem inženiring podjetju  ki deluje na področju montaže električne opreme in elektroinštalacij za tehnološko opremo? Iščemo izkušenega vodjo projektov  ki poleg tehničnih kompetenc združuje tudi izrazito poslovno naravnanost.Povežite se z nami in postanite del zgodbe o uspehu!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Agilni projektni vodja programskih rešitev (SCRUM Master),Etrel d.o.o.,Kot del naše skupnosti boste prispevali k podpornemu in sodelovalnemu delovnemu okolju  ki vam omogoča  da se izkažete. Pridružite se naši ekipi in pustite svoj pečat vsak dan  sledite naši misiji oblikovanja prihodnosti za trajno e-mobilnost po vsem svetu!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Direktor NLB Zavoda za upravljanje kulturne dediščine ,NLB d.d.,Bi bilo vodenje malega podjetja s področja kulture  ki upravlja muzej in umetnostno galerijo  izvaja program finančnega in likovnega opismenjevanja ter kvalitetnega preživljanja prostega časa  pravi izziv za vas? Svet zavoda NLB Kulturna dediščina vas vabi  da se prijavite na delovno mesto direktor/ica NLB Zavoda za upravljanje kulturne dediščine. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja servisnih dejavnosti ,REKRUTER jkps d.o.o.,Za našega partnerja  vodilnega evropskega ponudnika sistemov brezprekinitvenega napajanja ter stikalne in merilne tehnike  iščemo nove motivirane sodelavce.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja izmene ,Planeta d.o.o. Optika Claru,Iščemo sodelavca za vodenje  motiviranje in učinkovito usmerjanje članov ekipe.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja varnosti in zdravja pri delu za Adriatic regijo / Health  Safety  Security and Environment Manager (m/f/d),SELECTIO d.o.,Kot vodja varnosti in zdravja pri delu za Adriatic regijo boste delovali na vseh področjih poslovanja  s čimer boste poskrbeli  da organizacija izpolnjuje svoje zakonodajne zahteve za poslovanje.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja poslovne enote,CBRE GWS d.o.o.,S svojim tehničnim znanjem in organizacijskimi sposobnostmi zagotavlja dolgoročno operativnost in varnost maloprodajnih postaj in omrežja stranke z optimiziranimi stroški obratovanja in vzdrževanja  nenehno spremlja tehnično stanje maloprodajne mreže in pravočasno pripravlja načrt vzdrževalnih in servisnih posegov ter tako zagotavlja in presega pričakovanja strank.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Upravljalec vodne infrastrukture,Hidrotehnik Vodnogospodarsko podjetje d.o.o.,Pričakujemo: srednje tehniško in drugo strokovno izobraževanje gradbene ali druge ustrezne smeri...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja sistema ravnanja z okoljem ,Styria digital marketplaces  d.o.o.,K prijavi vabimo kandidate  ki si želijo spremembo v poslovni karieri. V naše vrste vabimo kompetentega kandidata za vodenje sistema trajnosti in okolja.  Če si želite novih izzivov  priložnost za nadgrajevanje svojega znanja ter delo v urejenem delovnem okolju  ki spodbuja povezovanje ter osebno in poslovno rast  se prijavite. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
HR partner za razvoj in upravljanje talentov ,Trenkwalder d.o.o.,Imate strast do HR? Se lahko pohvalite z nekajletnimi izkušnjami s področja coachinga  podpore vodjem in razvoja kadrov?,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja restavracije Robin /Restaurant Manager,Hotel Mons d.o.o.,Four Points by Sheraton Ljubljana Mons vas vabi k sodelovanju kot sodelavca/sodelavko za delovno mestoVODJA RESTAVRACIJE ROBIN /Restaurant Manager -  m/ž,upravljanje-svetovanje-vodenje,osrednjeslovenska
Analitik dela in časa ,Bosch Rexroth d.o.o.,Naloge: določanje in izračunavanje časovnih normativov  sodelovanje pri oblikovanju delovnih mest  preverjanje in optimiranje ergonomije delovnih mest  proaktivno predlaganje in uvajanje izboljšav,upravljanje-svetovanje-vodenje,osrednjeslovenska
5749 - Globalni business developer – razvojno prodajni inženir - za inovativni strojegradni biser iz Slovenj Gradca ,Trescon d.o.o.,Bi kot izkušeni globalni prodajnik delali v podjetju  ki ne &#187;štanca&#171;  temveč se nanj svetovno znana inovativna podjetja obračajo z razvojnim izzivom: &#187;Mi bi imeli ultra lahek izdelek xy  bi nam vi znali pomagati?&#171; V tem podjetju stakne glave in poda roke 110 ljudi  ustvarjajo inovativne rešitve  ki omogočajo napredek ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Operativni vodja  v Čistilnem servisu Ljubljana,Želva d.o.o.,Kaj od vas pričakujemo: iskreno voljo  željo in veselje do tovrstnega dela...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Skupinovodja mentor  v Čistilnem servisu Ljubljana,Želva d.o.o.,Kaj od vas pričakujemo: organizacijske in vodstvene sposobnosti  komunikativnost ter strokovnost...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Čistilec prostorov mentor  v Čistilnem servisu Ljubljana,Želva d.o.o.,Kaj od vas pričakujemo: organizacijske sposobnosti...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Različni profili ,LPP FASHION d.o.o.,V svojo sredino vabimo vse  ki vas zanima moda  ste komunikativni ter radi delate v dinamičnem delovnem okolju. Cenimo timsko delo  medsebojno pomoč pri vsakodnevnih izzivih ter usmerjenost h kupcem in skupnim ciljem.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projektov - Scrum master ,Manpower d.o.o.,Za našega naročnika  uspešno mednarodno podjetje iz področja trajnostne e-mobilnosti  iščemo izkušene in motivirane kandidate za delovno mesto &#39;&#39;Vodja projektov – Scrum master m/ž&#39;&#39;.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Team Lead - Support &amp; Monitoring,Manpower d.o.o.,Za našega naročnika  uspešno mednarodno podjetje  iščemo kandidate za delovno mesto &#39;&#39;L2 Support &amp; Monitoring Team Lead m/ž&#39;&#39;.,upravljanje-svetovanje-vodenje,osrednjeslovenska
DevOps inženir ,Manpower d.o.o.,Za uspešno mednarodno podjetje  ki ponuja inovativne rešitve na področju blockchain tehnologije  iščemo proaktivno in radovedno osebo za delovno mesto &#39;&#39;DevOps inženir m/ž&#39;&#39;.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Senior Frontend Developer  - Team Lead ,Manpower d.o.o.,Za hitro rastoče podjetje v energetiki iščemo &quot;Senior Frontend Developer&quot; m/ž. Vabimo k prijavi!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Pomočnik vodje oddelka E.Leclerc LJ ,E.Leclerc  Rudnidis d.o.o.,V naše vrste vabimo ambiciozno ter izkušeno osebo s smislom za organizacijo in urejenost oddelka. Priložnost bomo dali tudi kandidatu z ustrezno izobrazbo živilske smeri z manj delovnimi izkušnjami.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja oddelka ,E.Leclerc  Rudnidis d.o.o.,Zaposlimo organizirane in zanesljive osebe  s posluhom za stranke ter z motivacijo  da svoje kompetence pri nas samo še izpopolnjujejo. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Nepremičninski posrednik - celotna Slovenija,RE/MAX  Nepremičninska družba d.o.o.,Iščemo podjetne  pozitivne in proaktivne ljudi  ki imajo radi delo z ljudmi ter nove izzive. S pomočjo preverjenega izobraževalnega programa RE/MAX Univerze usposabljamo novo generacijo nepremičninskih posrednikov.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Nepremičninski svetovalec/posrednik za poslovne nepremičnine,RE/MAX  Nepremičninska družba d.o.o.,Iščemo podjetne  pozitivne in proaktivne ljudi  ki imajo radi delo z ljudmi ter nove izzive. S pomočjo preverjenega izobraževalnega programa RE/MAX Univerze usposabljamo novo generacijo nepremičninskih posrednikov.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projektov ,Manpower d.o.o.,Za našega naročnika  iščemo kandidata/kandidatko za prosto delovno mesto &quot;Vodja projektov&quot; m/ž.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja  operative ,Valina varovanje d.o.o.,Te privlači dinamično delo  kjer je delo z zaposlenimi rdeča nit tvojega delovnega dela in ti organizacija dela ne predstavlja težav? Potem si prava oseba za zasedo delovnega mesta Vodja operative. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Direktor sektorja  fizično varovanje ,Valina varovanje d.o.o.,Te privlači dinamično delo  kjer je delo z zaposlenimi rdeča nit tvojega delovnega dela in ti organizacija dela ne predstavlja težav? Potem si prava oseba za zasedo delovnega mesta Direktor sektorja fizično varovanje.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projektov in optimizacije procesov ,Addiko Bank d.d.,Piši nam  če: si natančen in stremiš k neprestanim izboljšavam poslovnih procesov  vidiš izziv v samostojnem vodenju in sodelovanju v projektih..,upravljanje-svetovanje-vodenje,osrednjeslovenska
Pomočnik vodje gradbišča ,Strabag d.o.o.,Naloge: pomoč pri vodenju del na gradbišču  pomoč pri obračunu s pripravogradbene knjige in izstavljanje situacij  občasno sodelovanje z naročnikom  pomoč pri koordinaciji vseh udeležencev na gradbišču  pomoč pri pregledu računov in situacij ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Geometer ,Strabag d.o.o.,Naloge: izvajanje zakoličb stavb in&#160;infrastrukturnih objektov&#160;na terenu  izdelava zakoličbenih elaboratov spremljanje in določitev mas pri zemeljskih delih (vkopi/nasipi)  izračun in izris mas pri zemeljskih delih ter zagovarjanje le teh pri naročniku  izvajanje opazovanj pomikov in deformacij objektov ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja ekipe razvijalcev programske opreme ,Cosylab d.d.,Iščemo motiviranega in izkušenega vodjo ekipe razvijalcev programske opreme  ki se bo pridružil našemu Medical Services oddelku.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja gradbišč,Hidrotehnik Vodnogospodarsko podjetje d.o.o.,Opis del in nalog: organizacija manj zahtevnih prevzetih del na gradbišču...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja tima ,CCC Obutev d.o.o.,Trenutno iščemo Vodjo Tima za poslovalnico v off-price konceptu Halfprice Supernova Rudnik Ljubljana.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Produktni vodja ,Spintec d.o.o.,Imate izkušnje v igralniškem okolju ter z igrami na živih mizah? Bi želeli prispevati k razvoju novih iger in analizirati trende v svetu igralništva? Poznate dobro psihologijo igralcev in njihove želje? Če ste se našli v opisu in imate obenem nekaj tehnične žilice  vas vabimo  da se pridružite naši ekipi.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projektov,Hidrotehnik Vodnogospodarsko podjetje d.o.o.,Opis del in nalog: skrb za finančno učinkovitost prevzetih projektov...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Projektni vodja,COOKINOX d.o.o.,Opis del in nalog: koordinacija in vodenje projektov in projektnega tima; nadziranje izvajanja planiranih aktivnosti vezanih na posamezne projekte; vnos potrebne dokumentacije  postavk naročila in ostalih informacij v ERP sistem; skrb za doseganje projektnih ciljev  obvladovanje  vodenje in koordinacija sprememb; izdelava projektne dokumentacije v skladu z internimi procesi.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja kavarne na Obali,EURO MARKT d.o.o.,Oseba je lahko tudi natakar s pozitivnim odnosom  angažiranostjo  ter željo  da skozi interno šolanje pride do stopnje vodje.,upravljanje-svetovanje-vodenje,obalna
Direktor komerciale za Adria regijo ,HSG KARIERA,Za našega naročnika  mednarodno modno podjetje  ki ponuja več kot 20 blagovnih znamk  iščemo direktorja komerciale (Adria regija).,upravljanje-svetovanje-vodenje,obalna
Operativni direktor ,HSG KARIERA,Za našega naročnika  uveljavljeno ime v avtomobilski industriji  iščemo posameznika za zasedbo delovnega mesta Operativni direktor.,upravljanje-svetovanje-vodenje,obalna
Gradbeni inženir – vodja gradbišča ,KOLEKTOR CPG d.o.o.,Gradbene inženirje iščemo v družbah Kolektor Koling d.o.o. in Kolektor CPG d.o.o. za potrebe gradbišč po Sloveniji in v Kvarnerju. ,upravljanje-svetovanje-vodenje,obalna
Matematiki  računovodje  C# programerji,Seyfor d.o.o.,gitalizacija odpira številna delovna mesta tudi pri nas - razpisanih imamo 5 prostih mest.,upravljanje-svetovanje-vodenje,obalna
Vodja projektov ,Manpower d.o.o.,Za našega naročnika  uspešno podjetje  ki se ukvarja z digitalizacijo poslovnih procesov  iščemo kandidata za delovno mesto &#39;&#39;Vodja projektov m/ž&#39;&#39;.,upravljanje-svetovanje-vodenje,obalna
Vodja spremljanja skladnosti/Compliance Monitoring Manager,Pipistrel d.o.o.,Vodja spremljanja skladnosti poroča neposredno direktorju podpore strankam in storitve in podpira nadaljevanje odobritev s spremljanjem skladnosti z aktualnimi zahtevami EASA Part-145  ter aktivno sodeluje pri vzpostavitvi in obratovanju Part-CAO organizacije.,upravljanje-svetovanje-vodenje,obalna
Različni profili ,NLB d.d.,V NLB ponujamo svet priložnosti. Za vse  ki ne pristajajo na rutino in se ne bojijo novih izzivov. Za vse  ki so radi del velikih zgodb in vejo  da se te ne napišejo same. Z nami razvijajte svoje potenciale  nadgradite svoje znanje in skupaj se bomo podali novim zmagam naproti.,upravljanje-svetovanje-vodenje,obalna
Vodja gradnje,Adriaing d.o.o.,Vaše delo bo obsegalo: Samostojno operativno vodenje gradbišč (nizka  visoka in morska gradnja)  načrtovanje  organiziranje  usklajevanje in nadzorovanje del na gradbiščih ...,upravljanje-svetovanje-vodenje,obalna
Vodja operative,Adriaing d.o.o.,Vaše delo bo obsegalo: načrtovanje  vodenje  organiziranje in nadziranje dela na svojem delovnem področju  strokovno vodenje  organiziranje in nadziranje del na enem ali več projektih...,upravljanje-svetovanje-vodenje,obalna
Vodja poprodaje ,Manpower d.o.o.,Za našega naročnika  priznano podjetje  ki deluje kot pooblaščeni prodajalec in serviser vozil priznanih znamk  iščemo motivirane kandidate za prosto delovno mesto „Vodja poprodaje“ m/ž. Če bi se radi pridružili prijetni ekipi  berite dalje. ,upravljanje-svetovanje-vodenje,obalna
Direktor ,Europacific Logistika d.o.o.,Zaradi širitve poslovanja Iščemo odgovornega in samoiniciativnega sodelavca za vodilno prosto delovno mesto &#187;Direktor (m/ž)&#171;. Vabimo vse odločne  visoko motivirane in dinamične kandidate  da izkoristijo zgornjo priložnost ter se pridružijo našemu kolektivu. ,upravljanje-svetovanje-vodenje,obalna
Direktor ,Europacific Transport d.o.o.,Zaradi širitve poslovanja Iščemo odgovornega in samoiniciativnega sodelavca za vodilno prosto delovno mesto &#187;Direktor (m/ž)&#171;. Vabimo vse odločne  visoko motivirane in dinamične kandidate  da izkoristijo zgornjo priložnost ter se pridružijo našemu kolektivu. ,upravljanje-svetovanje-vodenje,obalna
Vodja izmene - Barcaff&#232; ,Atlantic Grupa - Atlantic Droga Kolinska d.o.o.,Si želiš nadaljevati svojo kariero in se razvijati kot vodja ekipe v proizvodnji blagovne znamke Barcaff&#232;  s katerimi smo odraščali? Potem je to delovno mesto lahko tvoj naslednji izziv!,upravljanje-svetovanje-vodenje,obalna
Izvršni direktor za knjigovodstvo in finance ,Tekstilna tovarna Okroglica  d.o.o.,Najpomembnejše dnevne naloge in odgovornosti: organizacija  vodenje in koordinacija področja financ in knjigovodstva v skladu z računovodskimi in finančnimi predpisi oz. standardi ...,upravljanje-svetovanje-vodenje,obalna
Vodja programskega inženiringa ,Cosylab d.d.,Iščemo motiviranega in izkušenega vodjo programskega inženiringa  ki se bo pridružil našemu Scientific Services oddelku in prispeval k zagotavljanju celovitih programskih rešitev  ki poganjajo najbolj zapletene in sofisticirane sisteme na svetu  kot so pospeševalniki delcev  velike mreže teleskopov in fuzijski reaktorji. Veselimo se vaše prijave!,upravljanje-svetovanje-vodenje,obalna
Operativni vodja / Operation Manager ,Ak Automotive d.o.o.,Vodenje postopkov obrata (logistično  načrtovanje proizvodnje in materiala  proizvodnja).,upravljanje-svetovanje-vodenje,obalna
Vodja projektov / Project manager,Pipistrel Vertical Solutions d.o.o.,Vodja projektov bo pomagal/a ekipi pri pripravi podrobnih načrtov za spremljanje in sledenju napredku  meril uspešnost projektov z uporabo orodij in tehnik  komuniciral z naročniki in zainteresiranimi strankami  upravljal tveganja za zmanjševanje projektnih tveganj ter se po potrebi udeležil konferenc.,upravljanje-svetovanje-vodenje,obalna
Vodja področja kakovosti - Quality Manager,Ak Automotive d.o.o.,V svoje vrste vabimo Quality Managerja - vodjo področja kakovosti. Če ste natančni  odgovorni  imate radi delo v avtomobilski industriji. Ste inovativni  zagnani in si želite samo najboljše. Potem ste naš kandidat! Vabimo vas  da se nam predstavite in morda skupaj napišemo novo zgodbo o uspehu.,upravljanje-svetovanje-vodenje,obalna
Administrator ESG IN EU projektov ,Nomago d.o.o.,Si želiš novih kariernih izzivov? Želiš postati del Nomago tima  kjer skupaj z tradicijo  inovacijami  ter kakovostjo gradimo našo blagovno znamko? Imaš izkušnje pri delu z ljudmi in  s sodelovanjem v projektnih skupinah  ter si organiziran in natančen?Prihranili smo mesto za odločnega a prijaznega  iznajdljivega in motiviranega novega sodelavca !,upravljanje-svetovanje-vodenje,obalna
Vodja konstrukcije,Adittec  kadrovske rešitve  d.o.o.,Za našega naročnika  uspešno globalno podjetje  ki se uvršča med največje in najboljše ponudnike celovitih rešitev za sodobne industrijske linije iščemo pomembnega člana ekipe  ki bo zadolžen za vodenje oddelka konstrukcije. ,upravljanje-svetovanje-vodenje,obalna
Različni profili ,Swarco Lea  d.o.o.,Kaj ponujamo svojim zaposlenim: Redno plačilo  delo za nedoločen čas s poskusno dobo 6 mesecev  možnost napredovanje  hibridno delo od doma  karierni razvoj v velikem mednarodnem podjetju  druženja s sodelavci  kava in sadje v pisarni …,upravljanje-svetovanje-vodenje,obalna
Različni profili ,LPP FASHION d.o.o.,V svojo sredino vabimo vse  ki vas zanima moda  ste komunikativni ter radi delate v dinamičnem delovnem okolju. Cenimo timsko delo  medsebojno pomoč pri vsakodnevnih izzivih ter usmerjenost h kupcem in skupnim ciljem.,upravljanje-svetovanje-vodenje,obalna
Team Lead - Support &amp; Monitoring,Manpower d.o.o.,Za našega naročnika  uspešno mednarodno podjetje  iščemo kandidate za delovno mesto &#39;&#39;L2 Support &amp; Monitoring Team Lead m/ž&#39;&#39;.,upravljanje-svetovanje-vodenje,obalna
DevOps inženir ,Manpower d.o.o.,Za uspešno mednarodno podjetje  ki ponuja inovativne rešitve na področju blockchain tehnologije  iščemo proaktivno in radovedno osebo za delovno mesto &#39;&#39;DevOps inženir m/ž&#39;&#39;.,upravljanje-svetovanje-vodenje,obalna
Nepremičninski posrednik Postojna,RE/MAX  Nepremičninska družba d.o.o.,Iščemo podjetne  pozitivne in proaktivne ljudi  ki imajo radi delo z ljudmi ter nove izzive. S pomočjo preverjenega izobraževalnega programa RE/MAX Univerze usposabljamo novo generacijo nepremičninskih posrednikov.,upravljanje-svetovanje-vodenje,obalna
Nepremičninski posrednik - celotna Slovenija,RE/MAX  Nepremičninska družba d.o.o.,Iščemo podjetne  pozitivne in proaktivne ljudi  ki imajo radi delo z ljudmi ter nove izzive. S pomočjo preverjenega izobraževalnega programa RE/MAX Univerze usposabljamo novo generacijo nepremičninskih posrednikov.,upravljanje-svetovanje-vodenje,obalna
Nepremičninski posrednik Primorska,RE/MAX  Nepremičninska družba d.o.o.,Iščemo podjetne  pozitivne in proaktivne ljudi  ki imajo radi delo z ljudmi ter nove izzive. S pomočjo preverjenega izobraževalnega programa RE/MAX Univerze usposabljamo novo generacijo nepremičninskih posrednikov.,upravljanje-svetovanje-vodenje,obalna
